solution_id,designation,source_id,ra,dec,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error
1636148068921376768,Gaia DR3 2374074783823445120,2374074783823445120,10.002277079839368,-14.881032697653213,4.74830698379784,75.37527456424135,6.462701359378775,0.18412451,0.1267128,0.23192617,0.21309197,0.23936006,250,250,0,18.494278,20.22652,17.244488,,
1636148068921376768,Gaia DR3 2377318343126200832,2377318343126200832,10.002377979289877,-11.050522308908889,,,,1.4267557,1.4199648,,,,99,97,2,20.843575,21.070028,19.578672,,
1636148068921376768,Gaia DR3 2362934776824396544,2362934776824396544,10.0024467774041,-19.467996762489047,1.2002230775427816,18.45364177823185,-6.576441241764925,0.01452818,0.008427757,0.017481245,0.021098502,0.01977599,417,417,0,12.691703,13.184612,12.046747,-7.3775325,0.5586284
1636148068921376768,Gaia DR3 2369264111214330880,2369264111214330880,10.002463206990097,-18.287883986550188,0.444188828945171,6.416272367388007,-4.143883302065074,0.08325174,0.05199384,0.10838366,0.113953166,0.12530895,394,392,2,17.68967,18.026217,17.184452,,
1636148068921376768,Gaia DR3 2425809318466826240,2425809318466826240,10.00249885758626,-10.18768221997814,0.3947943903719727,3.581482041828412,-8.419942348371405,0.0776107,0.068429954,0.0929412,0.10055054,0.10926855,244,244,0,17.452545,17.818481,16.954924,,
1636148068921376768,Gaia DR3 2377212691225033472,2377212691225033472,10.002518702114344,-11.672987758536523,0.642654366192007,-2.722190735105037,-6.275552436195562,0.74405277,0.7904317,0.93670386,0.9930715,1.361874,160,159,1,20.445372,20.816841,19.424137,,
1636148068921376768,Gaia DR3 2370256321675049472,2370256321675049472,10.00256759647636,-16.859748859322398,,,,17.85712,2.2839744,,,,102,101,1,20.888893,20.596392,20.582724,,
1636148068921376768,Gaia DR3 2373976686770682112,2373976686770682112,10.0025970775417,-15.32024077889088,-1.494631678944132,-0.167833015368687,-2.6331810118382437,0.5171569,0.3695729,0.63448006,0.80381304,0.66098785,247,243,4,20.133331,20.30199,19.736422,,
1636148068921376768,Gaia DR3 2374081179029758592,2374081179029758592,10.002616148230477,-14.752454206437529,-0.1118256826006621,-0.1674304350488038,-0.0920077716404736,0.49210387,0.35657582,0.6124261,0.5510309,0.5974724,279,276,3,19.90316,20.06687,19.673496,,
1636148068921376768,Gaia DR3 2363137048308773632,2363137048308773632,10.002617391657736,-19.16824436821355,-0.0927327192736977,3.466941413342455,-6.008072141494843,0.106764376,0.07437991,0.14094391,0.16368525,0.18836726,371,368,3,18.189104,18.506798,17.712116,,
1636148068921376768,Gaia DR3 2370502131242457344,2370502131242457344,10.002624185125052,-16.26301232715187,0.9127924135910188,3.350464832657686,-0.8726513802174871,0.28696808,0.2278145,0.37587255,0.42724982,0.5260333,280,278,2,19.522545,20.346933,18.277172,,
1636148068921376768,Gaia DR3 2377305355144616064,2377305355144616064,10.002658237578842,-11.27349882485236,0.3109075401929125,-0.5416487733977323,-2.8529462490762896,0.72246283,0.6950866,0.8645621,0.9464491,1.0585294,166,164,2,20.510265,20.745169,19.962786,,
1636148068921376768,Gaia DR3 2425812750145352320,2425812750145352320,10.002673258536245,-10.074120512176156,,,,2.7778473,1.3460183,,,,61,61,0,20.89594,21.723867,20.403776,,
1636148068921376768,Gaia DR3 2377318175622219008,2377318175622219008,10.00268784125373,-11.0691443275609,0.5163209840724776,8.176958099210676,-4.307039066307455,0.018266877,0.017201409,0.022882253,0.024789248,0.027379468,194,194,0,13.717505,14.159088,13.108044,-24.447752,3.769678
1636148068921376768,Gaia DR3 2374021290006318336,2374021290006318336,10.002750185341656,-14.981386273544146,-0.0155001109547489,6.767939364427857,-5.3897106692951215,0.09208199,0.068751596,0.116873585,0.11581012,0.12454558,273,273,0,17.60465,17.858435,17.223396,,
1636148068921376768,Gaia DR3 2362937972280062976,2362937972280062976,10.002784182378871,-19.37340934960756,0.6447288245310352,9.095110701523632,-0.4719645619283388,0.028309893,0.017388262,0.03417371,0.041521553,0.039459046,400,399,1,15.579186,15.878872,15.113688,,
1636148068921376768,Gaia DR3 2362835816482731520,2362835816482731520,10.002806021658593,-19.632888616849566,0.5895951017721283,5.279945381619302,-4.513384317067902,0.2707121,0.13527167,0.3213991,0.33586487,0.36386794,417,414,3,19.247358,19.601969,18.758244,,
1636148068921376768,Gaia DR3 2377210797144405888,2377210797144405888,10.002903088346976,-11.73336987679813,2.708045642851681,25.794152360369456,1.580991632371533,0.095695026,0.09273807,0.12081399,0.141117,0.14007455,203,202,1,17.371122,18.94006,16.162304,,
1636148068921376768,Gaia DR3 2377311539897540864,2377311539897540864,10.002917691094972,-11.238348079273148,1.0873422989051411,7.868271040160264,-4.507682792577894,0.097131394,0.0874351,0.11587079,0.12403535,0.13032506,234,232,2,17.762913,18.492714,16.934721,,
