index,pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_mass,st_rad,sy_dist,sy_vmag,rastr,decstr
107,NGTS-20 b,NGTS-20,Transit,2022,54.18915,11.994,947.12865,688,5980,1.47,1.78,382.898,11.233,03h05m10.23s,-21d56m01.13s
108,NGTS-27 b,NGTS-27,Transit,2024,3.3704181,15.648,188.47225,1783,5700,1.07,1.77,942.122,13.523,13h44m06.37s,-32d31m22.71s
109,NGTS-30 b,NGTS-30,Transit,2024,98.29838,10.402,305.11527,500,5455,0.94,0.91,238.377,12.537,11h34m51.57s,-24d36m19.73s
110,TIC 139270665 b,TIC 139270665,Transit,2024,23.624,7.23,147.15455,703,5844,1.03,1.02,189.875,10.385,08h16m08.14s,+33d17m29.23s
111,TIC 172900988 b,TIC 172900988 Aa,Transit,2021,200.452,11.25,942,,6050,1.24,1.38,250.956,10.141,08h34m38.80s,+31d33m14.33s
112,TIC 237913194 b,TIC 237913194,Transit,2020,15.168865,12.52,617.22586,974,5788,1.03,1.09,306.063,12.144,01h29m46.99s,-60d44m23.67s
113,TIC 241249530 b,TIC 241249530,Transit,2024,165.7719,13.294,1582.78547,,6166,1.27,1.4,324.448,11.908,06h21m14.14s,+53d17m42.07s
114,TIC 257060897 b,TIC 257060897,Transit,2021,3.660028,16.701,212.94503,1762,,1.32,1.82,505.703,11.814,15h10m07.72s,+72d42m37.13s
115,TIC 279401253 b,TIC 279401253,Transit,2023,76.8,11.209,1951.46642,,5951,1.13,1.06,285.584,11.938,03h50m37.73s,-15d01m34.41s
116,TIC 365102760 b,TIC 365102760,Transit,2024,4.21285367,6.21,19.2,,4900,1.17,3.13,555.546,12.154,20h23m21.56s,+54d23m39.55s
117,TIC 393818343 b,TIC 393818343,Transit,2024,16.24921,12.184,1379.37529,806,5756,1.08,1.09,93.7345,9.48,20h41m10.01s,+03d38m17.87s
118,TIC 46432937 b,TIC 46432937,Transit,2024,1.44044527,13.316,1017.0509,872,3572,0.56,0.53,90.5369,14.268,05h35m28.56s,-14d35m49.89s
119,TIC 4672985 b,TIC 4672985,Transit,2024,69.048,11.5,4049.13391,517,5757,1.01,1.15,253.385,11.501,02h33m52.96s,-10d39m26.58s
120,TOI-1052 b,TOI-1052,Transit,2023,9.139703,2.87,16.9,1135,6146,1.2,1.26,129.804,9.511,22h30m02.47s,-75d38m47.62s
121,TOI-1062 b,TOI-1062,Transit,2021,4.11296,2.265,10.15,1077,5328,0.94,0.84,82.1733,10.249,02h32m29.03s,-78d01m25.26s
122,TOI-1064 b,TOI-1064,Transit,2022,6.443868,2.587,13.5,784,4734,0.75,0.73,68.0726,10.938,19h44m00.94s,-47d33m43.31s
123,TOI-1064 c,TOI-1064,Transit,2022,12.226574,2.651,2.5,634,4734,0.75,0.73,68.0726,10.938,19h44m00.94s,-47d33m43.31s
124,TOI-1075 b,TOI-1075,Transit,2022,0.6047328,1.791,9.95,1323,3875,0.6,0.58,61.4592,12.615,20h39m53.09s,-65d26m58.92s
125,TOI-1107 b,TOI-1107,Transit,2022,4.0782387,14.572,1064.72516,1728,6311,1.35,1.81,281.314,10.553,10h22m25.89s,-82d13m07.93s
126,TOI-1130 b,TOI-1130,Transit,2020,4.074554,3.66,19.8,825,4360,0.74,0.7,58.2609,11.595,19h05m30.24s,-41d26m15.50s
127,TOI-1130 c,TOI-1130,Transit,2020,8.3501898,13,336,650,4360,0.74,0.7,58.2609,11.595,19h05m30.24s,-41d26m15.50s
128,TOI-1135 b,TOI-1135,Transit,2024,8.0277283,9.341,,1074,5962.7,1.16,1.15,114.048,9.54,12h53m35.13s,+85d07m46.18s
129,TOI-1136 b,TOI-1136,Transit,2022,4.1727,,3.5,1216,5770,1.02,0.97,84.5362,9.534,12h48m44.38s,+64d51m18.99s
130,TOI-1136 c,TOI-1136,Transit,2022,6.2574,,6.32,1062,5770,1.02,0.97,84.5362,9.534,12h48m44.38s,+64d51m18.99s
131,TOI-1136 d,TOI-1136,Transit,2022,12.5199,,8.35,843,5770,1.02,0.97,84.5362,9.534,12h48m44.38s,+64d51m18.99s
132,TOI-1136 e,TOI-1136,Transit,2022,18.801,,6.07,737,5770,1.02,0.97,84.5362,9.534,12h48m44.38s,+64d51m18.99s
133,TOI-1136 f,TOI-1136,Transit,2022,26.321,,9.7,658,5770,1.02,0.97,84.5362,9.534,12h48m44.38s,+64d51m18.99s
134,TOI-1136 g,TOI-1136,Transit,2022,39.545,,5.6,574,5770,1.02,0.97,84.5362,9.534,12h48m44.38s,+64d51m18.99s
135,TOI-1173 b,TOI-1173,Transit,2024,7.06466,9.19,27.4,868,5350,0.91,0.93,132.353,11.038,13h10m43.94s,+70d46m04.84s
136,TOI-1174 b,TOI-1174,Transit,2024,8.953458,2.506,32,714,5158,0.84,0.78,94.6375,10.964,13h56m52.12s,+68d37m05.56s
137,TOI-1180 b,TOI-1180,Transit,2024,9.686753,3.036,10,638,4804,0.78,0.74,72.0238,11.017,14h18m13.39s,+82d11m37.55s
